epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5879.61,1.68718,1.82544,1.12894,0.48658,0.36964,0.36833,0.17762,1.6063,1.35994,1.07792,0.000237518,0.000237518,0.000237518
2,11041.6,1.59829,1.24948,1.09749,0.52098,0.40171,0.41764,0.20388,1.54775,1.18012,1.07289,0.000466103,0.000466103,0.000466103
3,16088.3,1.5829,1.1703,1.09435,0.53276,0.39513,0.41221,0.20139,1.54249,1.16174,1.08047,0.000685263,0.000685263,0.000685263
4,20949.9,1.56214,1.11284,1.0827,0.54948,0.42965,0.44267,0.21332,1.53007,1.05657,1.07264,0.000671588,0.000671588,0.000671588
5,26189.4,1.54789,1.08365,1.07932,0.55165,0.43174,0.4578,0.22294,1.50383,1.03265,1.05352,0.000657451,0.000657451,0.000657451
6,31921.3,1.52632,1.05062,1.07131,0.57831,0.44537,0.46992,0.23029,1.48156,0.9937,1.05184,0.000643314,0.000643314,0.000643314
7,36840.6,1.51412,1.03301,1.06517,0.58032,0.44918,0.47569,0.23112,1.50705,1.00516,1.0568,0.000629177,0.000629177,0.000629177
8,42203.5,1.50029,1.00702,1.05803,0.60204,0.46025,0.49361,0.24401,1.45735,0.97194,1.03926,0.00061504,0.00061504,0.00061504
9,47876.5,1.48697,0.98959,1.05309,0.59318,0.45825,0.49023,0.24206,1.46166,0.95855,1.04033,0.000600902,0.000600902,0.000600902
10,53001.6,1.47751,0.98132,1.05299,0.60619,0.47161,0.50337,0.2462,1.45325,0.94734,1.0328,0.000586765,0.000586765,0.000586765
11,57942.2,1.47065,0.96996,1.04852,0.60756,0.46159,0.50538,0.24904,1.44591,0.93594,1.03578,0.000572628,0.000572628,0.000572628
12,62812.9,1.46454,0.96066,1.04721,0.60921,0.47657,0.51745,0.25582,1.43318,0.92265,1.03235,0.000558491,0.000558491,0.000558491
13,67866.8,1.46668,0.9576,1.04609,0.61836,0.48075,0.5197,0.25395,1.43808,0.92281,1.02909,0.000544354,0.000544354,0.000544354
14,72756.5,1.45471,0.94797,1.04346,0.61548,0.47751,0.51881,0.25544,1.42901,0.90561,1.02813,0.000530216,0.000530216,0.000530216
15,77661.1,1.45034,0.94118,1.03989,0.62144,0.48678,0.52748,0.2615,1.42315,0.91063,1.02423,0.000516079,0.000516079,0.000516079
16,83284.7,1.44659,0.93509,1.03681,0.61984,0.48366,0.52841,0.26232,1.41759,0.89752,1.0228,0.000501942,0.000501942,0.000501942
17,88592.3,1.44617,0.92717,1.03562,0.62998,0.47939,0.52634,0.25914,1.43406,0.90062,1.0258,0.000487805,0.000487805,0.000487805
